Date,Open,High,Low,Close,Adj Close,Volume
2007-01-02,69.300003,69.589996,69.010002,69.120003,35.450882,855300
2007-01-03,69.320000,69.650002,69.199997,69.290001,35.538067,1820000
2007-01-04,69.400002,69.410004,68.559998,69.190002,35.486790,1579600
2007-01-05,69.190002,69.190002,68.410004,68.599998,35.184185,940100
2007-01-08,68.599998,69.099998,68.430000,68.699997,35.235470,1015800
2007-01-09,68.620003,68.900002,68.339996,68.750000,35.261097,1231500
2007-01-10,68.750000,68.750000,68.370003,68.400002,35.081600,1052500
2007-01-11,68.449997,68.709999,68.180000,68.500000,35.132889,1853800
2007-01-12,68.699997,69.279999,68.519997,69.000000,35.389320,960800
2007-01-15,69.059998,69.300003,68.860001,69.089996,35.435482,513200
2007-01-16,68.849998,69.410004,68.849998,69.320000,35.553463,1049100
2007-01-17,69.110001,69.199997,68.809998,69.150002,35.466263,970900
2007-01-18,69.000000,69.440002,69.000000,69.180000,35.481655,1581100
2007-01-19,69.059998,69.809998,69.010002,69.699997,35.748352,1254300
2007-01-22,69.889999,70.080002,69.730003,70.010002,35.907349,1771100
2007-01-23,70.010002,70.760002,69.900002,70.250000,36.030441,1080300
2007-01-24,70.500000,70.900002,70.320000,70.709999,36.266376,1160000
2007-01-25,70.849998,71.139999,70.519997,70.910004,36.368954,1173300
2007-01-26,71.000000,71.239998,70.870003,71.059998,36.445885,998000
2007-01-29,71.199997,71.279999,70.510002,70.620003,36.220219,1046700
2007-01-30,70.529999,70.820000,70.050003,70.730003,36.276638,1609200
2007-01-31,70.150002,70.269997,69.800003,70.010002,36.240406,769500
2007-02-01,70.050003,70.629997,70.029999,70.440002,36.462990,1249600
2007-02-02,70.500000,70.970001,70.430000,70.430000,36.457798,705900
2007-02-05,70.400002,70.830002,70.330002,70.760002,36.628639,684300
2007-02-06,70.800003,71.000000,70.699997,70.919998,36.711452,851000
2007-02-07,71.010002,71.379997,71.010002,71.279999,36.897797,1160800
2007-02-08,71.120003,71.320000,71.010002,71.150002,36.830517,799300
2007-02-09,71.029999,71.300003,70.989998,71.209999,36.861572,760800
2007-02-12,71.250000,71.500000,71.050003,71.349998,36.934048,759700
2007-02-13,71.290001,71.730003,71.290001,71.489998,37.006519,749500
2007-02-14,71.750000,71.870003,71.169998,71.510002,37.016850,878100
2007-02-15,71.519997,71.870003,71.120003,71.500000,37.011688,1012200
2007-02-16,71.529999,71.550003,71.059998,71.330002,36.923687,1031900
2007-02-19,71.279999,71.449997,71.180000,71.220001,36.866741,365300
2007-02-20,71.099998,71.820000,71.010002,71.559998,37.042751,1630200
2007-02-21,71.540001,71.980003,71.400002,71.970001,37.254982,1389100
2007-02-22,72.050003,72.400002,71.949997,72.050003,37.296394,1227700
2007-02-23,72.050003,72.540001,71.889999,72.150002,37.348167,829500
2007-02-26,72.150002,72.349998,72.000000,72.080002,37.311928,776800
2007-02-27,72.000000,72.489998,71.529999,72.489998,37.524155,2001200
2007-02-28,71.949997,72.129997,70.349998,70.760002,36.628639,2075200
2007-03-01,70.050003,70.610001,69.029999,70.110001,36.292152,1631600
2007-03-02,69.599998,70.089996,69.180000,69.750000,36.105804,1282100
2007-03-05,69.430000,69.650002,69.199997,69.620003,36.038513,1640900
2007-03-06,69.989998,70.389999,69.510002,69.529999,35.991917,1552000
2007-03-07,69.510002,69.529999,68.820000,69.180000,35.810757,1751000
2007-03-08,69.220001,69.639999,69.150002,69.449997,35.950504,1478700
2007-03-09,69.470001,69.580002,69.339996,69.449997,35.950504,1859800
2007-03-12,69.589996,69.589996,69.000000,69.059998,35.748619,1464200
2007-03-13,69.029999,69.379997,68.529999,68.599998,35.510517,1351300
2007-03-14,68.489998,69.199997,68.290001,68.690002,35.557098,1007100
2007-03-15,68.699997,69.570000,68.699997,69.120003,35.779701,1334600
2007-03-16,69.120003,69.800003,69.019997,69.309998,35.878036,2582700
2007-03-19,69.650002,70.110001,69.650002,70.050003,36.261108,1072500
2007-03-20,70.010002,70.330002,69.699997,69.830002,36.147217,1002600
2007-03-21,69.760002,71.410004,69.720001,71.279999,36.897797,1502000
2007-03-22,71.250000,71.699997,70.900002,71.199997,36.856400,1096100
2007-03-23,71.139999,72.000000,71.000000,71.809998,37.172150,1059800
2007-03-26,72.000000,72.290001,71.610001,72.129997,37.337814,1029900
2007-03-27,71.910004,72.099998,71.610001,71.860001,37.198044,725200
2007-03-28,71.660004,71.769997,70.900002,70.900002,36.701103,1080600
2007-03-29,71.019997,71.250000,70.070000,70.410004,36.447456,1159700
2007-03-30,70.209999,70.220001,69.309998,69.720001,36.090279,1138600
2007-04-02,70.000000,70.180000,69.790001,69.980003,36.224873,546600
2007-04-03,70.059998,70.599998,69.849998,70.419998,36.452629,837000
2007-04-04,70.570000,70.589996,69.900002,70.139999,36.307693,929100
2007-04-05,70.220001,70.379997,69.940002,70.129997,36.302521,621900
2007-04-09,70.080002,70.879997,70.080002,70.709999,36.602764,587800
2007-04-10,70.830002,70.949997,70.349998,70.800003,36.649338,1850500
2007-04-11,70.750000,71.110001,70.660004,71.000000,36.752869,1202800
2007-04-12,70.860001,71.199997,70.750000,71.120003,36.814964,1036900
2007-04-13,71.000000,71.180000,70.779999,71.059998,36.783936,1114900
2007-04-16,70.930000,71.739998,70.769997,71.739998,37.135921,1195900
2007-04-17,71.779999,71.959999,71.570000,71.900002,37.218739,1171500
2007-04-18,71.720001,72.750000,71.709999,72.750000,37.658752,1394900
2007-04-19,72.379997,72.570000,72.250000,72.250000,37.399925,797900
2007-04-20,72.739998,72.750000,71.910004,72.029999,37.286026,1109200
2007-04-23,72.000000,72.199997,71.760002,71.860001,37.198044,1069100
2007-04-24,71.860001,71.989998,71.320000,71.389999,36.954746,1091500
2007-04-25,71.500000,71.879997,71.050003,71.879997,37.208385,954100
2007-04-26,71.559998,71.860001,71.220001,71.269997,36.892628,963400
2007-04-27,69.500000,70.349998,69.110001,70.000000,36.235222,3757100
2007-04-30,69.699997,69.959999,69.459999,69.459999,35.955681,2445700
2007-05-01,69.360001,69.540001,68.139999,69.309998,35.878036,2563300
2007-05-02,68.910004,68.910004,68.010002,68.449997,35.783936,2250400
2007-05-03,68.449997,68.580002,68.150002,68.449997,35.783936,1853500
2007-05-04,68.550003,69.040001,68.050003,68.650002,35.888504,1686400
2007-05-07,68.639999,68.650002,68.160004,68.370003,35.742126,1502000
2007-05-08,68.440002,68.449997,68.000000,68.110001,35.606201,2091900
2007-05-09,68.059998,68.080002,67.500000,67.910004,35.501648,2074900
2007-05-10,67.849998,68.180000,67.599998,68.129997,35.616646,1782200
2007-05-11,68.150002,68.720001,67.980003,68.690002,35.909409,969200
2007-05-14,68.760002,69.389999,68.699997,69.110001,36.128971,1136700
2007-05-15,69.349998,69.750000,69.199997,69.500000,36.332844,1221000
2007-05-16,69.470001,70.239998,69.470001,69.699997,36.437405,1021300
2007-05-17,68.800003,69.400002,68.349998,69.400002,36.280571,2477300
2007-05-18,69.000000,69.120003,68.879997,69.089996,36.118526,1275700
2007-05-22,68.900002,68.980003,68.570000,68.879997,36.008736,1630100
2007-05-23,69.160004,70.400002,69.160004,70.199997,36.698803,2065500
2007-05-24,70.349998,70.650002,69.629997,70.070000,36.630833,1762600
2007-05-25,70.360001,71.339996,70.349998,71.339996,37.294773,3206700
2007-05-28,71.250000,71.360001,71.150002,71.290001,37.268620,623800
2007-05-29,71.000000,71.480003,70.599998,70.639999,36.928814,1770000
2007-05-30,70.510002,71.349998,70.099998,71.349998,37.299995,1453300
2007-05-31,71.330002,71.400002,70.730003,71.160004,37.200668,1996400
2007-06-01,71.050003,71.070000,70.449997,70.919998,37.075195,1249900
2007-06-04,70.449997,70.589996,70.050003,70.540001,36.876541,2184200
2007-06-05,70.250000,70.900002,70.199997,70.680000,36.949730,2012100
2007-06-06,70.699997,70.739998,69.540001,69.849998,36.515831,1956600
2007-06-07,69.669998,69.910004,68.529999,68.599998,35.862358,1487700
2007-06-08,68.599998,69.699997,68.599998,69.449997,36.306713,1231500
2007-06-11,69.360001,69.900002,69.199997,69.449997,36.306713,1005500
2007-06-12,69.000000,69.169998,68.529999,68.529999,35.825764,1702500
2007-06-13,68.750000,69.160004,68.099998,69.120003,36.134212,1598700
2007-06-14,68.849998,69.230003,68.449997,68.779999,35.956463,1453500
2007-06-15,68.750000,68.989998,68.550003,68.849998,35.993057,2619400
2007-06-18,68.849998,68.940002,68.550003,68.720001,35.925095,1294000
2007-06-19,68.599998,68.639999,68.050003,68.230003,35.668941,1302400
2007-06-20,68.349998,68.620003,67.980003,68.000000,35.548691,1081500
2007-06-21,68.000000,68.199997,67.699997,67.870003,35.480743,1180200
2007-06-22,67.870003,67.900002,67.309998,67.760002,35.423222,1417800
2007-06-25,67.760002,68.250000,67.620003,67.779999,35.433678,1560800
2007-06-26,67.910004,68.269997,67.500000,67.790001,35.438915,1257300
2007-06-27,67.500000,67.709999,66.910004,67.269997,35.167076,1551700
2007-06-28,67.389999,67.900002,67.059998,67.309998,35.187977,1454700
2007-06-29,67.870003,68.589996,67.250000,68.400002,35.757809,4118000
2007-07-03,68.599998,69.489998,68.400002,69.489998,36.327621,1071400
2007-07-04,69.250000,69.389999,69.029999,69.050003,36.097618,291500
2007-07-05,68.970001,69.370003,68.550003,69.290001,36.223083,1093800
2007-07-06,68.839996,69.349998,68.730003,69.000000,36.071472,1341900
2007-07-09,69.000000,69.839996,69.000000,69.370003,36.264896,943400
2007-07-10,69.250000,69.750000,69.059998,69.099998,36.123749,1679000
2007-07-11,69.099998,69.099998,68.559998,68.720001,35.925095,1326300
2007-07-12,68.849998,69.400002,68.650002,69.320000,36.238762,1227300
2007-07-13,69.260002,69.720001,69.120003,69.550003,36.358990,790600
2007-07-16,69.300003,69.500000,69.120003,69.150002,36.149895,3923200
2007-07-17,69.250000,69.919998,69.220001,69.870003,36.526283,877400
2007-07-18,69.809998,70.000000,69.580002,70.000000,36.594250,1482900
2007-07-19,69.820000,70.349998,69.699997,70.139999,36.667435,1069400
2007-07-20,70.220001,70.529999,70.110001,70.150002,36.672665,1087700
2007-07-23,70.120003,70.190002,69.480003,69.900002,36.541962,1295800
2007-07-24,69.510002,69.739998,68.750000,68.809998,35.972137,1155300
2007-07-25,68.980003,69.570000,68.330002,69.250000,36.202168,2018900
2007-07-26,69.000000,69.000000,67.169998,67.849998,35.470287,2253300
2007-07-27,67.320000,68.209999,67.250000,67.730003,35.407547,1444400
2007-07-30,67.769997,67.919998,66.669998,67.089996,35.072968,1901200
